Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9722093,588055,BVI,-,2026-02-03,80,Austria,D113/D256,5,35,5,7.9197208,16,0.9899651,10.10136619967714,4.419347712358749,0.4375,-,-,,,,RT/DB,C2,8,,,,,,24,C2,C2,,,
9718835,592025,BVI,-,2026-01-16,25,Germany,D113/D256,25,5,1,0.598905495,1,0.074863186875,41.74281286231979,8.348562572463958,0.2,x,-,Offline,x,,RT/DB,Offline,3,,,,,,5,Offline,Offline,,,
9721980,588098,BVI,-,2026-01-30,98,France,D113/D256,7,15,2,4.1137167862,14,0.514214598275,23.82273867971509,3.6463375530176156,0.15306122448979592,-,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9720893,588103,BVI,-,2026-01-23,175,France,D113/D256,7,26,4,11.525430559999998,25,1.4406788199999998,15.183814529875578,2.255881015867229,0.14857142857142858,x,-,,,,RT/DB,No Info,8,,,,,,22,C2,C2,,,
9721950,588104,BVI,-,2026-01-30,63,France,D113/D256,7,28,4,4.2853020398999995,9,0.5356627549874999,14.701414139170025,6.533961839631122,0.4444444444444444,-,-,,,,RT/DB,No Info,8,,,,,,24,C2,C2,,,
9720820,588704,BVI,-,2026-01-20,9,Japan,D113/D256,9,29,4,0.5740075701,1,0.0717509462625,15.679235725814689,50.521981783180664,3.2222222222222223,x,-,Offline,x,,DB - UK,Offline,3,,,,,,24,Offline,Offline,,,
9722277,588133,BVI,-,2026-02-06,133,Germany,D113/D256,7,17,3,5.7259273316,19,0.71574091645,23.227678644471325,2.9689514056843045,0.12781954887218044,-,-,,,,RT/DB,C1,8,,,,,,15,C1,C1,,,
9720822,591473,BVI,-,2026-01-20,12,UK,D113/D256,12,25,4,0.6804441372000001,1,0.08505551715000001,17.63554029487198,36.74070894764996,2.0833333333333335,x,-,Offline,x,,DB - UK,Offline,3,,,,,,21,Offline,Offline,,,
9720943,588185,BVI,-,2026-01-23,136,France,D113/D256,8,20,3,7.5723580624,17,0.9465447578,17.960059320926494,2.641185194253896,0.14705882352941177,x,-,,,,RT/DB,C2,8,,,,,,19,C1,C1,,,
9719042,591893,BVI,-,2026-01-20,20,Austria,D113/D256,5,34,5,1.40138162,4,0.1751727025,14.271630021806622,24.26177103707126,1.7,x,-,Offline,x,,RT/DB,Offline,3,,,,,,30,Offline,Offline,,,
9721967,588206,BVI,-,2026-01-30,85,France,D113/D256,5,20,3,3.741321699,17,0.467665212375,22.719243849765512,5.345704435238944,0.23529411764705882,-,-,,,,RT/DB,C2,8,,,,,,11,C1,C1,,,
9720961,588207,BVI,-,2026-01-23,133,Germany,D113/D256,7,24,3,8.542224063799999,19,1.0677780079749999,15.569715686061635,2.809572755379543,0.18045112781954886,x,-,,,,RT/DB,No Info,8,,,,,,17,C1,C2,,,
9720874,588076,BVI,-,2026-01-23,15,UK,D120,15,16,2,0.5352044715000001,1,0.06690055893750001,28.0266716717818,29.895116449900584,1.0666666666666667,x,-,Offline,x,,DB - UK,Offline,3,,,,,,13,Offline,Offline,,,
9720891,588122,BVI,-,2026-01-23,28,Spain,D113/D256,4,14,2,0.9605687167999999,7,0.12007108959999999,29.149398174529438,14.574699087264719,0.5,x,-,Offline,x,,RT/DB,Offline,3,,,,,,11,Offline,Offline,,,
9720912,588201,BVI,-,2026-01-23,28,Germany,D113/D256,7,22,3,1.4195553288,4,0.1774444161,19.72448655711742,15.497810866306544,0.7857142857142857,x,-,,,,RT/DB,Offline,3,,,,,,18,Offline,Offline,,,
9720948,588314,BVI,-,2026-01-23,280,UK,D120,20,10,2,8.394342375999999,14,1.0492927969999999,33.355799353686024,1.1912785483459296,0.03571428571428571,x,-,,,,DB - UK,No Info,8,,,,,,8,C3/4,C1,,,
9722089,588318,BVI,-,2026-02-03,64,Austria,D113/D256,4,26,4,4.039295296,16,0.504911912,15.844347914691307,6.436766340343343,0.40625,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C2,,,
9719725,588325,BVI,-,2026-01-28,900,France,D113/D256,5,25,4,39.864907980000005,180,4.983113497500001,22.576246769502763,0.6271179658195212,0.027777777777777776,-,-,,,,RT/DB,C2,8,,,,,,17,C1,C2,,,
9721674,588342,BVI,-,2026-01-29,780,France,D113/D261,5,17,3,29.898724674,156,3.73734058425,26.088069257291426,0.5685861248384029,0.021794871794871794,-,-,,,,RT/DB,No Info,8,,,,,,13,C1,C1,,,
9720926,588226,BVI,-,2026-01-23,20,France,D113/D256,20,11,2,0.599595884,1,0.0749494855,33.355799353686024,18.345689644527315,0.55,x,-,,,,RT/DB,Offline,3,,,,,,10,Offline,Offline,,,
9722237,588377,BVI,-,2026-02-06,40,Denmark,D113/D261,5,36,5,2.9867334359999997,8,0.37334167949999997,13.392557741466957,12.05330196732026,0.9,-,-,,,,RT/DB,No Info,8,,,,,,20,C1,C2,,,
9720931,588227,BVI,-,2026-01-23,25,France,D113/D256,5,24,3,1.1084202725,5,0.1385525340625,22.554621762387512,21.652436891892012,0.96,x,-,,,,RT/DB,Offline,3,,,,,,21,Offline,Offline,,,
9721903,588447,BVI,-,2026-01-30,255,UK,None,15,23,3,7.654967502,17,0.95687093775,33.311702490360226,3.0045849305030794,0.09019607843137255,-,-,,,,DB - UK,C2,8,,,,,,18,C1,C2,,,
9720927,588410,BVI,-,2026-01-23,20,Italy,D113/D256,10,21,3,1.183069098,2,0.14788363725,16.905183335284782,17.750442502049022,1.05,x,-,,,,RT/DB,Offline,3,,,,,,19,Offline,Offline,,,
9721921,588455,BVI,-,2026-01-30,50,Belgium,D113/D256,5,24,3,2.5879758749999997,10,0.32349698437499996,19.320118275832076,9.273656772399397,0.48,-,-,,,,RT/DB,No Info,8,,,,,,22,C2,C2,,,
9720890,588739,BVI,-,2026-01-23,12,Belgium,D113/D256,6,23,3,0.62111421,2,0.07763927625,19.320118275832073,37.03022669534481,1.9166666666666667,x,-,,,,RT/DB,Offline,3,,,,,,18,Offline,Offline,,,
9717808,591729,BVI,-,2026-01-07,2160,Ireland,D120,20,5,1,50.584492223999995,108,6.323061527999999,42.70083389262886,0.09884452289960384,0.0023148148148148147,x,-,C3/4,x,,RT/DB,C3/4,4,,,,,,5,C3/4,C3/4,,,
9720832,588508,BVI,-,2026-01-21,2000,UK,D120,20,10,2,54.9231588,100,6.86539485,36.41451154116795,0.18207255770583974,0.005,x,-,,,,DB - UK,C3/4,4,,,,,,9,C3/4,C1,,,
9720900,588744,BVI,-,2026-01-23,25,Denmark,D113/D256,5,27,4,1.5914167949999998,5,0.19892709937499997,15.709272441101769,16.96601423638991,1.08,x,-,,,,RT/DB,Offline,3,,,,,,22,Offline,Offline,,,
9720910,588511,BVI,-,2026-01-22,500,UK,D113/D256,10,17,3,13.92839945,50,1.74104993125,35.897879134992785,1.2205278905897547,0.034,x,-,,,,DB - UK,C1,8,,,,,,9,C3/4,C1,,,
9720897,588768,BVI,-,2026-01-23,10,France,D113/D256,10,9,2,0.4020521692967041,1,0.050256521162088015,24.872394091275897,22.385154682148308,0.9,x,-,,,,RT/DB,Offline,3,,,,,,6,Offline,Offline,,,
9720878,588781,BVI,-,2026-01-23,5,Belgium,D113/D256,5,28,4,0.221317847,1,0.027664730875,22.59194216723064,126.5148761364916,5.6,x,-,,,,RT/DB,Offline,3,,,,,,26,Offline,Offline,,,
9720988,588553,BVI,-,2026-01-23,224,France,D113/D256,7,18,3,9.639495532800002,32,1.2049369416000002,23.2377305677255,1.8673176349065135,0.08035714285714286,x,-,,,,RT/DB,No Info,8,,,,,,16,C1,C1,,,
9720898,588804,BVI,-,2026-01-23,16,Ireland,D113/D256,8,33,5,0.679937896,2,0.084992237,23.531560888319717,48.53384433215942,2.0625,x,-,,,,RT/DB,Offline,3,,,,,,23,Offline,Offline,,,
9722004,588565,BVI,-,2026-01-30,30,Belgium,D113/D256,5,23,3,1.5209521380000002,6,0.19011901725000002,19.72448655711742,15.122106360456687,0.7666666666666667,-,-,,,,RT/DB,No Info,8,,,,,,21,C2,C2,,,
9720979,588569,BVI,-,2026-01-22,300,France,D113/D256,4,19,3,16.957743179999998,75,2.1197178974999997,17.69103334185534,1.1204321116508384,0.06333333333333334,x,-,,,,RT/DB,C2,8,,,,,,13,C1,C1,,,
9722021,588585,BVI,-,2026-01-30,64,UK,D120,16,17,3,2.4655325504,4,0.3081915688,25.957880778989047,6.895062081918965,0.265625,-,-,,,,DB - UK,C1,8,,,,,,14,C1,C1,,,
9721134,588590S,BVI,-,2026-01-27,144,Austria,D113/D256,4,20,3,6.7383501264,36,0.8422937658,21.370216343586286,2.968085603275873,0.1388888888888889,-,-,,,,RT/DB,C2,8,,,,,,16,C1,C1,,,
9720969,588598,BVI,-,2026-01-23,140,France,D113/D256,5,15,2,7.217167972,28,0.9021459965,19.398190612044687,2.0783775655762167,0.10714285714285714,x,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9720899,588862,BVI,-,2026-01-23,25,France,D113/D256,5,21,3,0.7584430475,5,0.0948053809375,32.96226405187002,27.68830180357082,0.84,x,-,,,,RT/DB,Offline,3,,,,,,14,Offline,Offline,,,
9720552,591601,BVI,-,2026-01-08,940,Italy,D113/D256,20,7,1,25.149744555999998,47,3.1437180694999998,37.37612514938023,0.2783328468570868,0.007446808510638298,x,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C3/4,,,
9722314,588625,BVI,-,2026-02-06,285,France,D113/D256,5,20,3,11.5450950105,57,1.4431368763125,24.68580810645551,1.7323374109793341,0.07017543859649122,-,-,,,,RT/DB,C2,8,,,,,,17,C1,C1,,,
9722390,588627,BVI,-,2026-02-10,360,Austria,D113/D256,5,14,2,14.404001328,72,1.800500166,24.993055179757203,0.9719521458794467,0.03888888888888889,-,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
